,GEO_0,GEO_1,GEO_2,hu_tot,hu_occ,hu_vacant,1u_detached,1u_attached,2u,3_4u,5_9u,10_19u,20_plusu,mobile_home,boat_rv_van,owner_occ,renter_occ,owner_median_value,renter_median_rent,hu_0_veh,hu_1_veh,hu_2_veh,hu_3plus_veh,0_veh_pct,1_veh_pct,2_veh_pct,3plus_veh_pct
73,Kentucky,McCreary County,,6920,5861,1059,4433,130,122,248,37,41,119,1743,47,4351,1510,85300.0,577.0,634,1990,1843,1394,0.1081726667804129,0.3395325029858386,0.3144514587954274,0.2378433714383211
74,Kentucky,McLean County,,4173,3641,532,3114,4,28,26,40,106,48,807,0,3013,628,148500.0,641.0,163,741,1376,1361,0.04476792090085142,0.2035155177149135,0.3779181543531997,0.37379840703103545
75,Kentucky,Madison County,,40456,37051,3405,24903,1026,1991,2968,3674,1906,920,2949,119,22965,14086,232000.0,889.0,1802,11869,14075,9305,0.04863566435453834,0.32034223097892095,0.37988178456721816,0.2511403200993226
76,Kentucky,Magoffin County,,5489,4734,755,2660,13,72,58,71,42,3,2561,9,3570,1164,89000.0,730.0,396,1850,1531,957,0.08365019011406843,0.39079002957329956,0.3234051542036333,0.20215462610899873
77,Kentucky,Marion County,,8477,7724,753,6278,55,155,353,194,113,154,1174,1,5999,1725,168100.0,726.0,466,2269,2531,2458,0.06033143448990161,0.2937597099948213,0.32767995857068877,0.3182288969445883
78,Kentucky,Marshall County,,16572,13209,3363,12708,119,308,209,239,49,345,2515,80,10775,2434,173800.0,798.0,653,3244,5080,4232,0.0494359906124612,0.24559012794306911,0.3845862669392081,0.32038761450526154
79,Kentucky,Martin County,,4862,3854,1008,2716,0,22,182,81,48,32,1781,0,3272,582,86900.0,450.0,334,1292,1282,946,0.08666320705760248,0.33523611831863,0.3326414115204982,0.24545926310326932
80,Kentucky,Mason County,,8190,7131,1059,5375,335,450,283,367,294,366,700,20,4711,2420,161500.0,727.0,684,2583,2237,1627,0.09591922591501893,0.3622212873369794,0.31370074323376806,0.22815874351423363
81,Kentucky,Meade County,,12237,11007,1230,8209,410,484,295,181,89,78,2491,0,8155,2852,207900.0,1026.0,476,2685,4360,3486,0.043245207595166715,0.243935677296266,0.3961115653674934,0.31670754974107385
82,Kentucky,Menifee County,,3367,2478,889,2600,8,27,45,17,16,23,631,0,1870,608,125800.0,675.0,182,766,950,580,0.07344632768361582,0.30912025827280065,0.3833736884584342,0.23405972558514931
83,Kentucky,Mercer County,,10472,9181,1291,8423,155,374,173,428,78,102,739,0,6971,2210,202300.0,831.0,445,2865,3142,2729,0.04846966561376757,0.3120575100751552,0.34222851541226446,0.29724430889881276
84,Kentucky,Metcalfe County,,4735,4100,635,3074,33,22,47,93,35,50,1371,10,3185,915,110200.0,582.0,319,1118,1383,1280,0.07780487804878049,0.2726829268292683,0.33731707317073173,0.3121951219512195
85,Kentucky,Monroe County,,5279,4645,634,4007,18,104,74,179,71,54,767,5,3293,1352,115900.0,657.0,230,1442,1407,1566,0.04951560818083961,0.31044133476856833,0.3029063509149623,0.3371367061356297
86,Kentucky,Montgomery County,,12231,11005,1226,8139,533,610,400,134,111,267,2003,34,7518,3487,172200.0,830.0,563,3306,4085,3051,0.05115856428895956,0.3004089050431622,0.3711949114039073,0.27723761926397095
87,Kentucky,Morgan County,,5685,4882,803,3426,0,0,28,103,68,22,2017,21,3853,1029,118200.0,663.0,273,1231,1803,1575,0.05591970503891847,0.25215075788611224,0.3693158541581319,0.32261368291683734
88,Kentucky,Muhlenberg County,,13557,12123,1434,10036,35,75,280,359,177,95,2500,0,9552,2571,127400.0,718.0,627,3283,4177,4036,0.051719871318980454,0.27080755588550687,0.34455167862740244,0.3329208941681102
89,Kentucky,Nelson County,,20330,19150,1180,16403,646,490,708,674,160,35,1214,0,15001,4149,238000.0,1008.0,450,5344,7194,6162,0.02349869451697128,0.2790600522193212,0.37566579634464753,0.32177545691906007
90,Kentucky,Nicholas County,,3333,2776,557,2412,0,132,66,7,57,18,641,0,2068,708,123000.0,728.0,317,520,971,968,0.11419308357348704,0.1873198847262248,0.34978386167146974,0.34870317002881845
91,Kentucky,Ohio County,,10241,9107,1134,6805,68,182,402,212,22,46,2470,34,7027,2080,121400.0,739.0,462,2157,3413,3075,0.05073020753266718,0.23685077412979028,0.37476666300647854,0.337652355331064
92,Kentucky,Oldham County,,23837,23025,812,20763,710,59,563,780,464,180,318,0,20058,2967,393100.0,1219.0,324,4467,10407,7827,0.014071661237785017,0.19400651465798047,0.4519869706840391,0.3399348534201954
93,Kentucky,Owen County,,5388,4252,1136,3817,39,49,86,176,11,9,1191,10,3740,512,168700.0,830.0,153,1231,1535,1333,0.03598306679209784,0.28951081843838194,0.3610065851364064,0.31349952963311384
94,Kentucky,Owsley County,,2052,1567,485,1311,0,49,64,49,0,0,579,0,1099,468,80100.0,448.0,256,482,517,312,0.1633694958519464,0.3075941289087428,0.3299298021697511,0.19910657306955967
95,Kentucky,Pendleton County,,6299,5442,857,4537,61,90,178,96,9,84,1244,0,4063,1379,159800.0,793.0,311,1259,1952,1920,0.05714810731348769,0.23134876883498715,0.35869165747886805,0.3528114663726571
96,Kentucky,Perry County,,13295,11078,2217,7561,147,208,442,441,98,141,4257,0,7800,3278,91800.0,798.0,798,4082,3888,2310,0.07203466329662393,0.3684780646326052,0.3509658783173858,0.20852139375338508
97,Kentucky,Pike County,,29044,24284,4760,15862,233,404,689,592,249,847,10146,22,18287,5997,112000.0,858.0,2194,8257,8303,5530,0.09034755394498435,0.34001811892604183,0.3419123702849613,0.22772195684401253
98,Kentucky,Powell County,,5647,4790,857,3503,18,167,192,304,72,24,1318,49,3269,1521,141100.0,747.0,427,1481,1558,1324,0.08914405010438413,0.30918580375782884,0.32526096033402924,0.27640918580375784
99,Kentucky,Pulaski County,,31722,26210,5512,21849,519,1142,1399,907,207,173,5493,33,18996,7214,166900.0,803.0,1343,8225,9647,6995,0.05123998473864937,0.3138115223197253,0.36806562380770697,0.26688286913391834
100,Kentucky,Robertson County,,1003,810,193,700,6,7,8,3,0,0,264,15,644,166,165100.0,548.0,12,213,412,173,0.014814814814814815,0.26296296296296295,0.508641975308642,0.21358024691358024
101,Kentucky,Rockcastle County,,7391,6534,857,4870,47,146,136,278,4,43,1867,0,4857,1677,123600.0,676.0,608,1661,2186,2079,0.09305172941536578,0.2542087542087542,0.33455769819406184,0.3181818181818182
102,Kentucky,Rowan County,,10623,9592,1031,6482,60,323,394,480,338,116,2403,27,5901,3691,161800.0,825.0,808,3150,3255,2379,0.08423686405337781,0.3283986655546289,0.3393452877397832,0.24801918265221018
103,Kentucky,Russell County,,10169,7562,2607,7110,117,158,245,154,104,142,2136,3,5354,2208,163200.0,681.0,489,2454,2626,1993,0.06466543242528432,0.32451732345940226,0.3472626289341444,0.263554615181169
104,Kentucky,Scott County,,23725,22642,1083,17760,894,531,837,1265,747,622,1034,35,16242,6400,288500.0,1247.0,845,5877,9955,5965,0.037320024732797455,0.2595618761593499,0.43966964049112267,0.26344845861673
105,Kentucky,Shelby County,,19531,18484,1047,15377,823,347,652,1023,462,339,497,11,13651,4833,304800.0,1033.0,785,4580,7384,5735,0.042469162518935295,0.2477818653971002,0.3994806318978576,0.3102683401861069
106,Kentucky,Simpson County,,8627,8025,602,6676,110,337,212,459,109,24,700,0,5351,2674,229400.0,1012.0,267,2389,3026,2343,0.03327102803738318,0.2976947040498442,0.3770716510903427,0.2919626168224299
107,Kentucky,Spencer County,,7712,7308,404,6977,11,14,118,102,51,44,395,0,6427,881,330000.0,987.0,219,1112,2919,3058,0.029967159277504107,0.15216201423097975,0.3994252873563218,0.41844553913519433
108,Kentucky,Taylor County,,11210,10260,950,8452,145,603,353,164,140,48,1288,17,7063,3197,174200.0,718.0,597,3591,3650,2422,0.058187134502923975,0.35,0.3557504873294347,0.23606237816764133
109,Kentucky,Todd County,,5187,4559,628,4071,67,43,62,103,0,86,748,7,3466,1093,166700.0,851.0,461,1246,1155,1697,0.10111866637420487,0.27330554946260144,0.25334503180522044,0.37223075235797326
110,Kentucky,Trigg County,,7652,6060,1592,5834,19,159,120,112,75,83,1250,0,4663,1397,207700.0,803.0,393,1807,2118,1742,0.06485148514851485,0.2981848184818482,0.3495049504950495,0.2874587458745875
111,Kentucky,Trimble County,,3880,3382,498,2587,8,21,19,93,8,3,1122,19,2696,686,172000.0,863.0,102,1020,1175,1085,0.03015966883500887,0.3015966883500887,0.34742755765819044,0.320816085156712
112,Kentucky,Union County,,5846,5198,648,4356,61,140,168,142,49,31,899,0,3651,1547,104500.0,790.0,290,1530,1955,1423,0.055790688726433245,0.2943439784532513,0.37610619469026546,0.27375913813005004
113,Kentucky,Warren County,,59868,55643,4225,37645,1355,2351,4278,4631,3004,3612,2929,63,30964,24679,258000.0,1002.0,3943,18551,20183,12966,0.0708624624840501,0.3333932390417483,0.3627230738817102,0.23302122459249142
114,Kentucky,Washington County,,5244,4852,392,4062,8,120,176,225,1,0,652,0,3767,1085,179200.0,744.0,258,1410,1517,1667,0.053173948887056885,0.2906018136850783,0.3126545754328112,0.34356966199505357
115,Kentucky,Wayne County,,10134,8074,2060,7123,104,298,124,157,15,12,2266,35,5582,2492,135700.0,727.0,547,2786,2611,2130,0.06774832796631161,0.3450582115432252,0.32338370076789696,0.26380975972256626
116,Kentucky,Webster County,,5723,4923,800,4175,195,28,219,150,12,40,898,6,3632,1291,112900.0,783.0,210,1092,1921,1700,0.042656916514320534,0.22181596587446678,0.390209222019094,0.3453178955921186
117,Kentucky,Whitley County,,15629,13541,2088,9919,136,670,395,335,230,150,3771,23,9043,4498,131800.0,798.0,1137,3831,5539,3034,0.08396721069344952,0.2829185436821505,0.409053984196145,0.22406026142825494
118,Kentucky,Wolfe County,,3053,2673,380,1865,12,0,41,121,12,0,987,15,1966,707,75800.0,501.0,274,790,1018,591,0.1025065469509914,0.2955480733258511,0.38084549195660305,0.22109988776655443
119,Kentucky,Woodford County,,11686,10814,872,9592,574,284,517,298,90,141,175,15,7759,3055,299700.0,1138.0,503,3228,4484,2599,0.046513778435361565,0.2985019419271315,0.41464767893471427,0.24033660070279267
0,Kentucky,Adair County,Census Tract 9701,789,661,128,586,35,0,0,0,0,0,165,3,605,56,108100.0,521.0,42,142,248,229,0.06354009077155824,0.21482602118003025,0.3751891074130106,0.3464447806354009
