,GEO_0,GEO_1,GEO_2,GEO_3,work_pop,labor,civilian,employed,unemployed,armed_forces,not_labor,unemp_rate,labor_pct,civilian_pct,employed_pct,unemployed_pct,armed_forces_pct,not_labor_pct
3413,Kentucky,Warren County,Census Tract 107.01,Block Group 1,1256,684,684,656,28,0,572,0.04093567251461988,0.5445859872611465,0.5445859872611465,0.5222929936305732,0.022292993630573247,0.0,0.4554140127388535
3414,Kentucky,Warren County,Census Tract 107.01,Block Group 2,1342,913,913,881,32,0,429,0.03504928806133625,0.680327868852459,0.680327868852459,0.6564828614008942,0.02384500745156483,0.0,0.319672131147541
3415,Kentucky,Warren County,Census Tract 107.01,Block Group 3,1681,852,852,852,0,0,829,0.0,0.5068411659726353,0.5068411659726353,0.5068411659726353,0.0,0.0,0.49315883402736466
3416,Kentucky,Warren County,Census Tract 107.02,Block Group 1,1875,1437,1437,1219,218,0,438,0.15170494084899094,0.7664,0.7664,0.6501333333333333,0.11626666666666667,0.0,0.2336
3417,Kentucky,Warren County,Census Tract 107.02,Block Group 2,1834,1035,1035,1035,0,0,799,0.0,0.564340239912759,0.564340239912759,0.564340239912759,0.0,0.0,0.435659760087241
3418,Kentucky,Warren County,Census Tract 107.02,Block Group 3,958,599,575,552,23,24,359,0.04,0.6252609603340292,0.6002087682672234,0.5762004175365344,0.024008350730688934,0.025052192066805846,0.3747390396659708
3419,Kentucky,Warren County,Census Tract 107.02,Block Group 4,900,508,508,508,0,0,392,0.0,0.5644444444444444,0.5644444444444444,0.5644444444444444,0.0,0.0,0.43555555555555553
3420,Kentucky,Warren County,Census Tract 108.01,Block Group 1,1268,964,964,964,0,0,304,0.0,0.7602523659305994,0.7602523659305994,0.7602523659305994,0.0,0.0,0.23974763406940064
3421,Kentucky,Warren County,Census Tract 108.01,Block Group 2,2286,1442,1442,1361,81,0,844,0.05617198335644938,0.6307961504811899,0.6307961504811899,0.5953630796150481,0.03543307086614173,0.0,0.36920384951881013
3422,Kentucky,Warren County,Census Tract 108.02,Block Group 1,4007,2837,2837,2579,258,0,1170,0.09094113500176243,0.7080109807836287,0.7080109807836287,0.6436236585974544,0.0643873221861742,0.0,0.2919890192163713
3423,Kentucky,Warren County,Census Tract 108.02,Block Group 2,2646,1752,1752,1707,45,0,894,0.025684931506849314,0.6621315192743764,0.6621315192743764,0.645124716553288,0.017006802721088437,0.0,0.3378684807256236
3424,Kentucky,Warren County,Census Tract 108.02,Block Group 3,1557,1139,1139,1125,14,0,418,0.012291483757682178,0.7315350032113038,0.7315350032113038,0.7225433526011561,0.00899165061014772,0.0,0.26846499678869623
3425,Kentucky,Warren County,Census Tract 108.04,Block Group 1,1060,610,610,573,37,0,450,0.060655737704918035,0.5754716981132075,0.5754716981132075,0.5405660377358491,0.03490566037735849,0.0,0.42452830188679247
3426,Kentucky,Warren County,Census Tract 108.04,Block Group 2,952,724,724,658,66,0,228,0.09116022099447514,0.7605042016806722,0.7605042016806722,0.6911764705882353,0.06932773109243698,0.0,0.23949579831932774
3427,Kentucky,Warren County,Census Tract 108.05,Block Group 1,437,275,275,269,6,0,162,0.02181818181818182,0.6292906178489702,0.6292906178489702,0.6155606407322655,0.013729977116704805,0.0,0.3707093821510298
3428,Kentucky,Warren County,Census Tract 108.05,Block Group 2,1799,1191,1191,1158,33,0,608,0.027707808564231738,0.6620344635908838,0.6620344635908838,0.6436909394107838,0.018343524180100056,0.0,0.3379655364091162
3429,Kentucky,Warren County,Census Tract 108.05,Block Group 3,1008,687,687,677,10,0,321,0.01455604075691412,0.6815476190476191,0.6815476190476191,0.6716269841269841,0.00992063492063492,0.0,0.31845238095238093
3430,Kentucky,Warren County,Census Tract 109,Block Group 1,853,589,589,480,109,0,264,0.18505942275042445,0.690504103165299,0.690504103165299,0.5627198124267292,0.12778429073856976,0.0,0.3094958968347011
3431,Kentucky,Warren County,Census Tract 109,Block Group 2,577,420,420,410,10,0,157,0.023809523809523808,0.7279029462738301,0.7279029462738301,0.7105719237435009,0.01733102253032929,0.0,0.2720970537261698
3432,Kentucky,Warren County,Census Tract 109,Block Group 3,649,390,390,369,21,0,259,0.05384615384615385,0.600924499229584,0.600924499229584,0.5685670261941448,0.032357473035439135,0.0,0.39907550077041604
3433,Kentucky,Warren County,Census Tract 109,Block Group 4,750,534,534,534,0,0,216,0.0,0.712,0.712,0.712,0.0,0.0,0.288
3434,Kentucky,Warren County,Census Tract 109,Block Group 5,911,667,667,555,112,0,244,0.1679160419790105,0.7321624588364435,0.7321624588364435,0.6092206366630076,0.12294182217343579,0.0,0.2678375411635565
3435,Kentucky,Warren County,Census Tract 110.01,Block Group 1,806,674,674,674,0,0,132,0.0,0.8362282878411911,0.8362282878411911,0.8362282878411911,0.0,0.0,0.16377171215880892
3436,Kentucky,Warren County,Census Tract 110.01,Block Group 2,1147,819,819,784,35,0,328,0.042735042735042736,0.7140366172624237,0.7140366172624237,0.6835222319093287,0.03051438535309503,0.0,0.28596338273757627
3437,Kentucky,Warren County,Census Tract 110.01,Block Group 3,1125,733,733,670,63,0,392,0.08594815825375171,0.6515555555555556,0.6515555555555556,0.5955555555555555,0.056,0.0,0.34844444444444445
3438,Kentucky,Warren County,Census Tract 110.02,Block Group 1,1428,1025,1025,1022,3,0,403,0.002926829268292683,0.7177871148459384,0.7177871148459384,0.7156862745098039,0.0021008403361344537,0.0,0.2822128851540616
3439,Kentucky,Warren County,Census Tract 110.02,Block Group 2,2093,1652,1652,1573,79,0,441,0.04782082324455206,0.7892976588628763,0.7892976588628763,0.7515527950310559,0.03774486383182035,0.0,0.21070234113712374
3440,Kentucky,Warren County,Census Tract 110.02,Block Group 3,2462,1545,1545,1490,55,0,917,0.03559870550161812,0.6275385865150285,0.6275385865150285,0.6051990251827782,0.022339561332250204,0.0,0.3724614134849716
3441,Kentucky,Warren County,Census Tract 111,Block Group 1,1153,683,683,662,21,0,470,0.03074670571010249,0.5923677363399826,0.5923677363399826,0.5741543798785776,0.01821335646140503,0.0,0.40763226366001737
3442,Kentucky,Warren County,Census Tract 111,Block Group 2,1659,1351,1351,1329,22,0,308,0.01628423390081421,0.8143459915611815,0.8143459915611815,0.8010849909584087,0.013261000602772756,0.0,0.18565400843881857
3443,Kentucky,Warren County,Census Tract 111,Block Group 3,2455,1809,1809,1789,20,0,646,0.01105583195135434,0.7368635437881874,0.7368635437881874,0.7287169042769858,0.008146639511201629,0.0,0.26313645621181264
3444,Kentucky,Warren County,Census Tract 111,Block Group 4,1223,791,791,764,27,0,432,0.03413400758533502,0.6467702371218316,0.6467702371218316,0.624693376941946,0.022076860179885527,0.0,0.35322976287816843
3445,Kentucky,Warren County,Census Tract 112,Block Group 1,600,278,278,239,39,0,322,0.14028776978417265,0.4633333333333333,0.4633333333333333,0.3983333333333333,0.065,0.0,0.5366666666666666
3446,Kentucky,Warren County,Census Tract 112,Block Group 2,1152,617,563,515,48,54,535,0.0852575488454707,0.5355902777777778,0.4887152777777778,0.4470486111111111,0.041666666666666664,0.046875,0.4644097222222222
3447,Kentucky,Warren County,Census Tract 112,Block Group 3,772,404,404,317,87,0,368,0.21534653465346534,0.5233160621761658,0.5233160621761658,0.4106217616580311,0.11269430051813471,0.0,0.47668393782383417
3448,Kentucky,Warren County,Census Tract 112,Block Group 4,978,661,661,648,13,0,317,0.019667170953101363,0.6758691206543967,0.6758691206543967,0.6625766871165644,0.013292433537832311,0.0,0.32413087934560325
3449,Kentucky,Warren County,Census Tract 113,Block Group 1,509,222,222,208,14,0,287,0.06306306306306306,0.4361493123772102,0.4361493123772102,0.4086444007858546,0.0275049115913556,0.0,0.5638506876227898
3450,Kentucky,Warren County,Census Tract 113,Block Group 2,1090,686,686,656,30,0,404,0.043731778425655975,0.6293577981651376,0.6293577981651376,0.6018348623853211,0.027522935779816515,0.0,0.3706422018348624
3451,Kentucky,Warren County,Census Tract 113,Block Group 3,2190,1681,1681,1673,8,0,509,0.004759071980963712,0.7675799086757991,0.7675799086757991,0.7639269406392694,0.0036529680365296802,0.0,0.2324200913242009
3452,Kentucky,Warren County,Census Tract 114.01,Block Group 1,2343,1774,1774,1724,50,0,569,0.02818489289740699,0.7571489543320529,0.7571489543320529,0.7358087921468203,0.021340162185232606,0.0,0.24285104566794707
3453,Kentucky,Warren County,Census Tract 114.01,Block Group 2,1711,904,904,859,45,0,807,0.049778761061946904,0.5283459964932787,0.5283459964932787,0.5020455873758036,0.026300409117475162,0.0,0.4716540035067212
3454,Kentucky,Warren County,Census Tract 114.01,Block Group 3,1169,676,676,676,0,0,493,0.0,0.5782720273738238,0.5782720273738238,0.5782720273738238,0.0,0.0,0.42172797262617623
3455,Kentucky,Warren County,Census Tract 114.01,Block Group 4,1056,536,536,536,0,0,520,0.0,0.5075757575757576,0.5075757575757576,0.5075757575757576,0.0,0.0,0.49242424242424243
3456,Kentucky,Warren County,Census Tract 114.02,Block Group 1,890,579,579,540,39,0,311,0.06735751295336788,0.650561797752809,0.650561797752809,0.6067415730337079,0.043820224719101124,0.0,0.349438202247191
3457,Kentucky,Warren County,Census Tract 114.02,Block Group 2,2632,1711,1711,1673,38,0,921,0.022209234365867914,0.6500759878419453,0.6500759878419453,0.6356382978723404,0.014437689969604863,0.0,0.3499240121580547
3458,Kentucky,Warren County,Census Tract 115,Block Group 1,2042,1521,1521,1416,105,0,521,0.06903353057199212,0.7448579823702253,0.7448579823702253,0.693437806072478,0.051420176297747304,0.0,0.25514201762977473
3459,Kentucky,Warren County,Census Tract 115,Block Group 2,1432,933,933,916,17,0,499,0.01822079314040729,0.651536312849162,0.651536312849162,0.6396648044692738,0.011871508379888268,0.0,0.348463687150838
3460,Kentucky,Warren County,Census Tract 115,Block Group 3,1239,796,796,781,15,0,443,0.018844221105527637,0.642453591606134,0.642453591606134,0.6303470540758677,0.012106537530266344,0.0,0.35754640839386603
3461,Kentucky,Warren County,Census Tract 115,Block Group 4,1398,934,934,934,0,0,464,0.0,0.6680972818311874,0.6680972818311874,0.6680972818311874,0.0,0.0,0.3319027181688126
3462,Kentucky,Warren County,Census Tract 116,Block Group 1,708,383,383,381,2,0,325,0.005221932114882507,0.5409604519774012,0.5409604519774012,0.538135593220339,0.002824858757062147,0.0,0.4590395480225989
